fileName,anchorRatioX,anchorRatioY,sizeRatio
Blanche_pointée_tête_en_bas.svg,0.30565336,0.8622134,0.72
Double-croche_pointée.svg,0.30193233,0.17163076,0.72
Double-croche_pointée_tête_en_bas.svg,0.21929824,0.8622134,0.72
Triple-croche_pointée.svg,0.30193233,0.1456093,0.72
Noire_pointée_tête_en_bas.svg,0.30193233,0.8622134,0.72
Noire_pointée.svg,0.30193233,0.17163076,0.72
Ronde_pointée.svg,0.349162,0.5713783,0.72
Croche_pointée_tête_en_bas.svg,0.30193233,0.8622134,0.72
Blanche_pointée.svg,0.30565336,0.17163076,0.72
Ronde_pointée_tête_en_bas.svg,0.349162,0.50322056,0.72
Triple-croche_pointée_tête_en_bas.svg,0.22401431,0.88387215,0.72
Croche_pointée.svg,0.30193233,0.17163076,0.72
Ronde_doublement_pointée_tête_en_bas.svg,0.26595747,0.50505054,0.9
Triple-croche_doublement_pointée.svg,0.21505377,0.11622502,0.9
Noire_tête_en_bas.svg,0.50505054,0.86248624,0.9
Blanche.svg,0.5032206,0.13751374,0.9
Noire_doublement_pointée.svg,0.21505377,0.13751374,0.9
Blanche_doublement_pointée.svg,0.21837877,0.13751374,0.9
Blanche_doublement_pointée_tête_en_bas.svg,0.21837877,0.86248624,0.9
Triple-croche_tête_en_bas.svg,0.3115265,0.88377506,0.9
Quadruple-croche_doublement_pointée.svg,0.21505377,0.1002807862,0.9
Quadruple-croche.svg,0.50505054,0.100280784,0.9
Quintuple-croche.svg,0.50505054,0.08520791,0.9
Triple-croche_doublement_pointée_tête_en_bas.svg,0.17182131,0.88377506,0.9
Blanche_tête_en_bas.svg,0.5032206,0.86248624,0.9
Double-croche_doublement_pointée.svg,0.21505377,0.13751374,0.9
Ronde.svg,0.50505054,0.50505054,0.9
Croche_doublement_pointée.svg,0.21505377,0.13751374,0.9
Double-croche_tête_en_bas.svg,0.3115265,0.86248624,0.9
Quadruple-croche_pointée_tête_en_bas.svg,0.22371367,0.89971924,0.9
Double-croche_doublement_pointée_tête_en_bas.svg,0.16920474,0.86248624,0.9
Croche_doublement_pointée_tête_en_bas.svg,0.21505377,0.86248624,0.9
Quadruple-croche_doublement_pointée_tête_en_bas.svg,0.17182131,0.89971924,0.9
Noire_doublement_pointée_tête_en_bas.svg,0.21505377,0.86248624,0.9
Quadruple-croche_tête_en_bas.svg,0.3115265,0.89971924,0.9
Quadruple-croche_pointée.svg,0.3030303,0.100280784,0.9
Ronde_tête_en_bas.svg,0.50505054,0.50505054,0.9
Croche_tête_en_bas.svg,0.3115265,0.86248624,0.9
Quintuple-croche_tête_en_bas.svg,0.3115265,0.9147922,0.9
Triple-croche.svg,0.50505054,0.11622502,0.9
Double-croche.svg,0.50505054,0.13751374,0.9
Ronde_doublement_pointée.svg,0.26595747,0.50505054,0.9
Noire.svg,0.50505054,0.13751374,0.9
Croche.svg,0.50505054,0.13751374,0.9
Dièse.svg,0.5,0.5,0.72
Becarre.svg,0.5,0.5,0.72
